model,precision,recall,f1,roc_auc,pr_auc
xgboost_classifier,0.6297641005727599,0.31623281661304475,0.42104170047055006,0.744298587173007,0.5545301038117539
random_forest_balanced,0.4013635576737034,0.7685190601540411,0.5273273393808033,0.7401804267206505,0.546996276852484
logistic_regression_balanced,0.38299208403105495,0.7849078677976017,0.5147932399337549,0.7275455571871802,0.52587617034235
dummy_most_frequent,0.0,0.0,0.0,0.5,0.27621884223452614
