model,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,dataset_rows,full_data
xgboost_classifier,0.6477003437428671,0.2426506463260205,0.34690098401283903,0.7359509755086144,0.5086712719895006,0.015324449646658312,0.08184125500544412,0.08681983196419624,0.011860231477522158,0.061325426138616856,1796653,1
random_forest_balanced,0.38556698164475306,0.682046508101805,0.49211725155564856,0.7327343481206502,0.5025554267582185,0.030170008380754315,0.0945256362535602,0.048194579143801694,0.012014533990480613,0.06109247755550452,1796653,1
mlp_classifier,0.5888920968820403,0.28729417978251776,0.37429243458433525,0.7255001972563515,0.4896419925287637,0.08463248407849071,0.10261345706658229,0.09946326700693223,0.019771345448779717,0.07789920039532494,1796653,1
logistic_regression_balanced,0.3485786721081636,0.7486032021175877,0.4754443566241866,0.7201680084134723,0.48139552416504483,0.03878676384869951,0.05935037676483899,0.04737245364924213,0.009558784454412692,0.05717626716912629,1796653,1
