experiment,f1,roc_auc,pr_auc,pca_components,numeric_variance_explained
logistic_regression_balanced_no_pca,0.5081270258843426,0.7249056857417634,0.5174098479107243,,
logistic_regression_balanced_with_pca,0.5086007610873353,0.7226850149680077,0.5147585270580971,20.0,0.9520250955560975
