model,mae,rmse,r2
random_forest_regressor,26.53932852452641,56.28407565354169,0.09819184220683663
xgboost_regressor,26.638064962128478,56.19663666429619,0.10099163744207362
linear_regression,27.129405490609003,56.96404644185522,0.07627064100069048
